brand,model,battery_range,motor_power,age,weight,top_speed,has_gps,has_app,warranty,price,date
Super73,Z1 Black,113,350,7,30,26,False,True,5,500.0,2024-10-14 03:07:52.126328
Panasonic,Rear Hub,50,500,7,34,34,False,False,3,891.0,2025-04-27 03:07:52.126433
BionX,PL-350,42,250,0,30,28,False,True,3,1344.2130370356924,2025-02-02 03:07:52.126532
Rad Power Bikes,RadRunner,22,2000,5,31,42,False,True,3,1545.2691994432885,2024-11-03 03:07:52.126633
Yamaha,PW-SE,61,250,6,30,38,False,True,1,1475.0,2025-03-01 03:07:52.126739
Juiced,Juiced CrossCurrent,138,2000,1,23,43,True,False,1,5741.839765726664,2025-09-02 03:07:52.126840
Rad Power Bikes,RadMini,89,500,3,15,43,False,True,3,2294.82844060703,2025-06-16 03:07:52.126944
Niu,KQi,118,250,0,34,40,False,True,3,2399.9217305481147,2024-12-03 03:07:52.127049
Juiced,Juiced RipCurrent,56,750,6,32,28,True,False,2,858.0,2024-09-25 03:07:52.127152
Niu,MQi+,103,750,6,27,35,True,True,2,1042.2995475344587,2025-02-21 03:07:52.127251
Tesla,Roadster,116,2000,3,28,42,False,False,1,5325.43381105769,2025-03-25 03:07:52.127352
BionX,PL-500,24,500,2,19,41,True,False,1,1152.3158517919783,2025-01-26 03:07:52.127453
Super73,RX Pro,50,2000,2,25,25,False,True,1,3961.9917313227647,2025-08-15 03:07:52.127554
Rad Power Bikes,RadCity,84,2000,2,29,41,True,True,1,4585.257715182548,2024-09-18 03:07:52.127656
Riese & Müller,Supercharger,70,1000,6,21,40,True,False,3,1216.0307110687907,2025-06-20 03:07:52.127756
Tesla,Model B,121,1500,6,31,32,False,True,1,2801.830528801254,2025-07-17 03:07:52.127863
VanMoof,VanMoof X3,143,1500,2,17,27,True,True,5,6193.121741288897,2025-08-21 03:07:52.127965
Aventon,Aventon Path,108,500,0,22,40,True,False,3,3150.8553550120614,2025-08-31 03:07:52.128066
Niu,KQi,132,250,5,25,42,False,True,5,1324.5170170651797,2024-12-19 03:07:52.128166
Niu,NQi+,64,500,1,29,27,False,True,3,2007.9777436241568,2024-11-17 03:07:52.128266
Aventon,Aventon Sinch,67,350,5,28,31,False,True,2,500.0,2024-11-13 03:07:52.128366
Haibike,FullSuspension,83,1000,2,34,43,False,False,3,2398.229569364673,2025-07-16 03:07:52.128467
VanMoof,VanMoof X3,130,500,7,33,23,False,True,2,500.0,2025-08-30 03:07:52.128568
VanMoof,VanMoof X3,128,500,2,20,43,True,False,1,3843.6328414663226,2025-08-30 03:07:52.128670
Segway,GT2,140,250,1,18,39,False,True,5,2860.2950573314815,2025-06-29 03:07:52.128771
Aventon,Aventon Level,105,350,7,19,38,False,True,3,500.0,2024-11-07 03:07:52.128872
Niu,MQi,92,750,7,29,43,True,True,1,500.0,2024-11-02 03:07:52.128972
Juiced,Juiced RipCurrent,109,2000,1,31,24,True,True,3,4884.292335330675,2024-09-21 03:07:52.129074
Yamaha,PW-TE,51,250,0,16,27,True,False,1,2413.846838390442,2024-10-11 03:07:52.129174
BionX,PL-350,60,500,3,26,27,True,False,2,1161.397293461716,2024-11-02 03:07:52.129274
Xiaomi,Mi Lite,131,500,5,19,40,False,True,5,2137.826061689459,2024-11-13 03:07:52.129376
Xiaomi,Mi Tour,109,500,1,20,35,True,True,1,2559.611690795087,2025-06-27 03:07:52.129479
Brose,C,101,1000,1,19,40,False,True,1,4088.238554777555,2024-12-01 03:07:52.129579
Niu,NQi,138,1500,3,26,30,False,True,3,4567.959642806542,2025-02-15 03:07:52.129680
Giant,Reign E+,44,2000,2,24,32,False,True,1,3458.2041622885463,2025-04-06 03:07:52.129781
Haibike,FullSuspension,94,750,4,32,35,False,False,5,1761.8561997965394,2024-10-25 03:07:52.129883
Haibike,FullSuspension,62,1000,1,22,42,False,False,2,3155.9604927664514,2024-09-24 03:07:52.129984
Haibike,XDURO,78,500,2,18,35,True,False,2,2543.2730905225867,2025-02-09 03:07:52.130084
Juiced,Juiced CrossCurrent,35,750,1,29,36,False,True,1,1619.6350222428762,2024-12-18 03:07:52.130185
Juiced,Juiced CrossCurrent,145,750,3,21,28,True,False,5,3278.126004149949,2025-06-11 03:07:52.130287
Haibike,Sduro,29,350,3,24,35,True,True,2,746.8415218633916,2025-04-13 03:07:52.130387
Giant,Trance E+,90,2000,0,16,43,False,False,3,5466.519759969701,2025-08-18 03:07:52.130487
Brose,S Mag,134,350,3,29,35,True,False,3,1967.946636261488,2025-02-16 03:07:52.130589
Tesla,Model B,27,350,2,33,28,True,True,2,581.3125124154174,2024-11-24 03:07:52.130692
Riese & Müller,GTS,122,750,2,15,23,True,False,3,3762.7747854789886,2025-03-02 03:07:52.130793
Aventon,Aventon Level,84,350,7,28,36,False,False,1,976.0,2025-07-12 03:07:52.130895
Niu,NQi2,29,750,5,16,33,True,False,1,571.0207951687513,2024-11-08 03:07:52.130994
Segway,Max G30P,46,750,7,34,24,True,True,1,1340.0,2025-05-23 03:07:52.131097
Juiced,Juiced RipCurrent,26,2000,0,30,32,False,True,3,4122.183269495284,2025-08-12 03:07:52.131196
BionX,PL-350,129,1500,6,31,26,True,False,2,2335.711424618699,2024-12-06 03:07:52.131297
Juiced,Juiced Bikes Scrambler,62,750,1,34,25,False,True,2,1982.9704513658571,2025-04-17 03:07:52.131399
Bosch,Active Line,39,250,3,33,25,True,False,2,500.0,2025-04-08 03:07:52.131501
Himo,T1,106,2000,0,27,29,True,False,5,5548.791850842358,2025-01-11 03:07:52.131602
VanMoof,VanMoof X3,141,750,1,19,39,True,True,5,6003.451095739243,2024-10-16 03:07:52.131703
Panasonic,Center Motor,97,250,3,23,33,True,True,3,1565.8441455251573,2025-09-06 03:07:52.131803
Segway,ES2,20,1000,4,30,34,False,True,1,500.0,2025-03-07 03:07:52.131906
Giant,Trance E+,100,500,6,19,32,False,False,2,696.0279365954906,2025-05-20 03:07:52.132007
Super73,S2,128,750,2,29,33,True,False,2,2509.6956161674602,2025-05-05 03:07:52.132107
BionX,PL-350,33,2000,5,16,26,True,False,3,2047.084743691774,2025-08-21 03:07:52.132208
Tesla,E-Bike X,122,500,0,19,25,False,False,1,4530.010664164957,2025-01-18 03:07:52.132310
Xiaomi,Mi Pro,107,500,7,16,42,True,False,5,1185.7642318046985,2025-06-05 03:07:52.132609
Rad Power Bikes,RadMini,141,2000,5,29,44,True,True,5,3606.2856753537567,2025-04-25 03:07:52.132933
Rad Power Bikes,RadCity,140,1500,2,16,34,True,False,5,5852.891749989451,2025-09-03 03:07:52.133195
Panasonic,Center Motor,107,2000,0,34,42,False,True,2,5619.279972946206,2024-10-12 03:07:52.133310
Juiced,Juiced RipCurrent,54,500,6,27,32,True,False,2,658.0,2024-11-10 03:07:52.133454
Super73,Z1,68,1000,0,21,41,False,False,5,4101.877231995899,2024-11-07 03:07:52.133879
BionX,CC-500,61,2000,0,19,35,True,True,1,5465.394514702466,2024-10-12 03:07:52.134027
Rad Power Bikes,RadRunner,65,1500,3,17,20,False,False,2,3226.6938306215397,2025-06-06 03:07:52.134141
Bosch,Performance Line,104,2000,7,25,41,True,True,5,3202.906671953338,2024-10-24 03:07:52.134253
Himo,T1 Pro,124,500,5,23,39,True,True,3,1635.9107302219413,2025-02-07 03:07:52.134364
Riese & Müller,GTS,85,2000,5,22,31,True,False,1,3422.84242921684,2024-11-16 03:07:52.134475
Haibike,Sduro,58,750,2,24,27,False,True,3,2081.2055354885474,2025-01-05 03:07:52.134585
Brose,A Mag,125,500,0,23,24,False,True,5,3769.5037790324864,2025-06-28 03:07:52.134694
Yamaha,PW-X,102,750,6,27,28,True,False,1,636.930293580992,2025-01-20 03:07:52.134800
Haibike,Sduro,74,2000,4,30,28,True,True,1,3255.588214416066,2025-09-05 03:07:52.134908
Aventon,Aventon Pace 500,50,1500,6,18,40,True,True,1,1629.1402870806444,2025-02-18 03:07:52.135015
Xiaomi,Mi Tour,95,750,1,26,44,False,True,1,2423.4263226979624,2025-06-06 03:07:52.135123
Himo,T1,67,1500,6,32,33,False,False,1,890.7506672803714,2025-06-10 03:07:52.135232
Niu,NQi,21,750,6,25,22,True,False,1,1262.0,2025-08-21 03:07:52.135340
Panasonic,Rear Hub,75,250,4,34,27,True,False,1,500.0,2025-07-20 03:07:52.135445
Yamaha,PW-SE,48,750,7,27,35,True,False,2,877.0,2024-12-02 03:07:52.135555
Brose,C,34,350,4,27,41,True,False,5,565.5135233396327,2024-10-04 03:07:52.135657
Juiced,Juiced CrossCurrent,128,250,4,17,41,True,True,2,1735.9262634416614,2025-01-11 03:07:52.135760
VanMoof,VanMoof A5,45,2000,4,34,32,True,False,1,3766.1106419278144,2025-02-23 03:07:52.135861
Bosch,Active Line,121,500,1,20,22,True,True,5,4008.1117830621615,2024-12-08 03:07:52.135963
Riese & Müller,Supercharger,45,1000,1,33,44,True,False,2,2070.184872727977,2024-11-04 03:07:52.136066
Bosch,Performance Line,140,350,6,19,37,False,True,5,1510.0613313336573,2025-01-02 03:07:52.136167
Brose,A Mag,65,350,4,29,43,False,False,2,500.0,2025-04-30 03:07:52.136271
Riese & Müller,Charger,37,350,2,32,39,False,True,3,709.0297747352571,2025-05-19 03:07:52.136374
Giant,Explore E+,131,750,6,25,26,False,True,1,1112.2262244943715,2025-04-18 03:07:52.136475
Bosch,Performance Line,108,350,6,23,38,False,True,5,794.3623474770741,2024-12-29 03:07:52.136577
Riese & Müller,Supercharger,64,750,0,31,37,True,True,5,3265.1482945136813,2025-07-14 03:07:52.136678
Panasonic,Mid Drive,72,1500,5,33,42,False,False,3,1761.1820054610466,2024-11-07 03:07:52.136778
Aventon,Aventon Sinch,38,500,0,24,26,False,False,2,1844.7194254655662,2025-06-21 03:07:52.136879
Bosch,Active Line,49,1000,4,28,44,False,False,2,1050.2152256145214,2025-06-01 03:07:52.136980
Tesla,Sport Bike,77,250,5,30,22,True,False,1,502.0,2024-09-21 03:07:52.137085
Niu,KQi,31,1000,6,24,25,True,True,3,644.7142197066903,2025-07-05 03:07:52.137186
BionX,PL-350,127,500,2,34,40,False,False,2,1682.2357151734827,2025-08-24 03:07:52.137286
Yamaha,PW-TE,70,1500,1,18,21,False,True,2,3468.005230099414,2025-03-09 03:07:52.137390
Himo,C1,54,1000,5,15,37,True,True,3,1697.9129645460384,2024-11-30 03:07:52.137493
Segway,GT2,86,1000,7,21,26,False,True,1,589.3622922185715,2025-06-03 03:07:52.137595
Giant,Trance E+,148,250,2,24,39,True,False,2,2387.8123181090355,2025-05-13 03:07:52.137696
Segway,ES4,63,1000,1,18,27,False,True,3,2598.213872907031,2025-06-01 03:07:52.137797
Niu,KQi,112,750,0,29,40,True,False,3,3604.055635601498,2025-01-26 03:07:52.137897
Himo,C26,129,2000,6,23,34,False,True,5,4012.8009680206283,2025-04-13 03:07:52.137997
Panasonic,Mid Drive,58,1500,7,28,22,True,False,2,911.3703776877387,2025-02-11 03:07:52.138098
Juiced,Juiced CrossCurrent,59,1500,2,16,40,True,True,5,4134.781928891721,2025-02-05 03:07:52.138199
VanMoof,VanMoof X3,27,350,6,34,34,True,True,3,834.0,2024-12-02 03:07:52.138303
Juiced,Juiced Bikes Scrambler,90,350,6,22,31,False,True,2,500.0,2025-03-27 03:07:52.138403
Riese & Müller,GTS,65,1500,3,16,37,False,True,5,3468.3487711909374,2025-03-22 03:07:52.138503
Panasonic,Mid Drive,87,350,1,17,20,True,True,2,2589.048437415424,2025-08-28 03:07:52.138603
Panasonic,Mid Drive,49,2000,6,17,20,False,False,3,2127.3218078883046,2025-06-07 03:07:52.138701
Tesla,City Bike,122,1500,2,20,28,True,True,1,6477.551156809599,2025-06-02 03:07:52.138802
Juiced,Juiced RipCurrent,106,250,0,34,32,False,False,3,1966.2210490086736,2024-11-12 03:07:52.138902
Giant,Explore E+,79,750,0,31,23,False,True,2,2696.9620196410892,2025-01-29 03:07:52.139002
VanMoof,VanMoof X3,114,350,4,19,29,True,True,1,2350.333785300475,2025-09-02 03:07:52.139102
Brose,S Mag,73,350,5,21,25,True,True,2,596.8581431560574,2025-05-08 03:07:52.139201
VanMoof,VanMoof S3,26,350,3,27,44,False,False,2,500.0,2025-01-17 03:07:52.139300
Juiced,Juiced RipCurrent,64,250,3,32,36,False,True,1,500.0,2025-08-30 03:07:52.139400
Tesla,City Bike,135,1500,6,27,42,True,True,3,3551.735346355143,2024-12-29 03:07:52.139500
Himo,T1 Pro,65,1500,2,26,32,False,True,3,3603.3788764211163,2024-12-31 03:07:52.139602
Himo,Z20,83,350,4,20,44,False,False,2,965.3495251890245,2025-06-29 03:07:52.139704
Aventon,Aventon Sinch,107,350,2,25,33,True,False,1,1811.9914674833285,2024-12-22 03:07:52.139804
Xiaomi,Mi 3,141,2000,1,18,33,True,True,2,5203.003727945565,2025-04-25 03:07:52.139906
Yamaha,PW-TE,34,1500,1,21,21,True,True,5,4358.965199660747,2025-07-02 03:07:52.140006
Riese & Müller,GTS,120,250,3,29,21,True,True,2,1648.9724016529156,2025-01-06 03:07:52.140109
Super73,S2,44,2000,4,18,27,True,False,1,2645.2419141460177,2025-08-29 03:07:52.140212
VanMoof,VanMoof X3,126,2000,3,32,39,True,True,2,6544.580220615361,2025-04-09 03:07:52.140313
Juiced,Juiced CrossCurrent,118,500,0,19,32,True,True,2,4000.1236723647175,2024-10-17 03:07:52.140414
Niu,KQi,119,2000,3,33,36,False,False,5,4557.411686440237,2024-11-29 03:07:52.140515
Juiced,Juiced RipCurrent,99,250,6,21,31,True,False,2,500.0,2025-02-03 03:07:52.140615
Himo,T1,117,2000,7,18,43,True,True,5,3334.5597527598707,2025-01-27 03:07:52.140716
Super73,Z1,54,750,4,30,23,True,True,1,682.5998513653602,2025-08-12 03:07:52.140816
Juiced,Juiced RipCurrent,49,250,4,34,21,True,True,5,500.0,2025-03-24 03:07:52.140915
Brose,A Mag,136,350,2,28,30,True,True,2,2888.0677767220873,2024-10-13 03:07:52.141015
Xiaomi,Mi 3,135,250,5,15,28,False,True,5,1654.411857130286,2025-04-16 03:07:52.141116
Bosch,Performance Line,125,500,2,17,34,True,True,2,3020.661737610033,2025-05-29 03:07:52.141216
Yamaha,PW-SE,79,2000,7,23,24,True,True,1,2151.2942577392223,2025-04-11 03:07:52.141315
Super73,Z1,134,1000,4,19,37,True,True,2,3262.8558682445196,2025-09-01 03:07:52.141415
Xiaomi,Mi Lite,21,250,0,31,37,True,False,5,1572.6747347430205,2025-02-13 03:07:52.141515
Brose,S Mag,136,500,5,33,33,False,True,2,1269.9779170838183,2025-05-21 03:07:52.141614
Bosch,Active Line,68,1000,5,17,40,False,True,3,1653.2869370384108,2025-06-02 03:07:52.141714
Super73,RX Pro,82,1500,5,27,21,False,False,5,2276.3047949965735,2024-10-30 03:07:52.141814
Super73,S2 Z,145,250,6,19,27,False,False,1,756.4558616205928,2025-05-12 03:07:52.141915
Juiced,Juiced Bikes Scrambler,29,2000,6,16,21,False,False,5,2624.2686754621764,2025-05-25 03:07:52.142015
Panasonic,Mid Drive,139,2000,7,31,32,False,True,5,3942.657650532163,2024-12-25 03:07:52.142114
Rad Power Bikes,RadRover,78,350,0,23,34,True,True,3,3304.9641803810705,2024-12-28 03:07:52.142214
Niu,NQi+,30,500,3,20,40,False,False,2,752.3987504092992,2025-08-31 03:07:52.142315
VanMoof,VanMoof S3,124,350,7,27,24,True,False,2,500.0,2025-07-22 03:07:52.142415
Panasonic,Rear Hub,66,500,2,32,39,True,True,5,1726.1120229548342,2025-08-03 03:07:52.142514
Aventon,Aventon Path,29,1000,2,15,29,False,False,1,2105.5930468716297,2025-08-24 03:07:52.142615
Panasonic,Center Motor,38,1500,6,27,42,True,False,1,1009.817329374814,2025-06-02 03:07:52.142716
Tesla,Roadster,79,750,2,26,31,True,False,2,3055.862405932482,2025-03-16 03:07:52.142817
Juiced,Juiced CrossCurrent,103,500,7,18,43,True,False,2,570.3542447793376,2025-02-23 03:07:52.142917
Niu,UQi,99,350,7,31,21,False,True,2,1180.0,2024-09-23 03:07:52.143020
Haibike,XDURO,96,2000,6,28,39,False,True,3,2742.6223247544567,2025-09-02 03:07:52.143119
Super73,S2,89,350,3,33,34,False,False,3,991.0546644769431,2024-11-09 03:07:52.143219
Super73,RX,76,2000,0,24,27,False,False,5,5355.614715884618,2025-07-28 03:07:52.143320
Super73,S2 Z,36,500,0,33,31,False,True,1,1356.9339729078217,2025-03-12 03:07:52.143420
Brose,A Mag,86,350,2,23,33,False,True,3,2097.3131260410187,2024-11-19 03:07:52.143519
Super73,RX Pro,60,2000,1,30,39,False,False,2,4037.0307694317657,2024-10-26 03:07:52.143620
Giant,Reign E+,134,1000,7,24,27,True,False,3,1525.2867557870466,2025-07-09 03:07:52.143720
BionX,CC-500,45,1500,5,27,23,True,False,1,1373.5972235533952,2024-12-08 03:07:52.143820
Brose,S Mag,72,250,1,20,42,True,True,5,2917.2204899493317,2024-11-28 03:07:52.143920
Himo,C20,127,1000,3,25,35,False,True,2,3134.0799507921747,2025-04-08 03:07:52.144021
Super73,S2,43,1500,7,34,33,False,False,2,500.0,2024-11-07 03:07:52.144121
Giant,Reign E+,81,1000,2,34,31,False,False,2,2003.479071500858,2025-02-19 03:07:52.144220
Segway,Max G30,120,350,4,16,27,True,False,5,2093.7221428353914,2024-12-08 03:07:52.144321
Yamaha,PW-SE,127,350,1,29,43,False,False,2,2367.9117241790823,2025-01-09 03:07:52.144421
Giant,Explore E+,133,2000,0,20,41,False,True,2,6541.399858929218,2025-07-10 03:07:52.144520
Tesla,City Bike,31,500,6,32,33,False,True,1,1203.0,2025-07-16 03:07:52.144623
VanMoof,VanMoof S3,22,500,7,18,23,False,False,5,1441.0,2025-01-24 03:07:52.144722
Aventon,Aventon Sinch,77,500,7,28,26,True,True,2,516.0,2025-01-03 03:07:52.144822
Riese & Müller,Charger,27,350,2,31,38,False,True,2,528.6606524997716,2025-07-27 03:07:52.144921
Super73,S2,49,1500,1,22,30,False,True,5,3378.4756821923334,2025-05-26 03:07:52.145020
Haibike,XDURO,116,750,3,18,23,True,False,5,3369.175044380792,2025-08-04 03:07:52.145120
Juiced,Juiced CrossCurrent,145,2000,4,26,26,False,False,2,4042.582166329524,2024-11-15 03:07:52.145219
Niu,MQi,35,1000,6,22,25,False,True,2,500.0,2024-10-08 03:07:52.145320
Himo,C20,122,250,5,16,41,True,True,5,2115.047230095683,2025-03-07 03:07:52.145422
VanMoof,VanMoof A5,132,350,1,25,26,True,True,5,4435.584681583991,2024-09-19 03:07:52.145527
Haibike,XDURO,129,250,3,23,26,False,True,2,1418.952325185005,2025-07-23 03:07:52.145630
Yamaha,PW-SE,100,500,3,23,28,False,True,5,1862.281322851445,2025-03-09 03:07:52.145732
BionX,CC-500,62,250,5,15,25,True,True,3,701.3231176086665,2024-09-18 03:07:52.145834
Panasonic,Mid Drive,21,750,2,33,31,True,True,5,1404.0281557416681,2024-10-17 03:07:52.145935
Brose,S Mag,62,350,4,16,39,True,True,2,1170.6784129882435,2025-08-05 03:07:52.146035
Juiced,Juiced RipCurrent,142,1000,3,28,29,False,False,3,3103.7762087534775,2025-05-14 03:07:52.146138
Super73,Z1 Black,68,750,4,34,20,False,True,5,1175.9978797531849,2024-10-06 03:07:52.146239
Super73,Z1,26,1500,1,34,44,False,True,1,2429.349095525153,2025-07-26 03:07:52.146343
Brose,S Mag,73,1000,0,22,36,False,False,2,3568.062958997534,2024-09-18 03:07:52.146444
Xiaomi,Mi Tour,56,250,0,15,42,False,False,1,1719.4188885408757,2025-03-12 03:07:52.146546
Juiced,Juiced CrossCurrent,122,350,3,22,40,True,False,2,2412.6335317316752,2025-01-03 03:07:52.146645
Rad Power Bikes,RadMini,118,2000,3,33,34,True,True,5,5230.782839315668,2025-03-13 03:07:52.146748
Aventon,Aventon Path,37,1500,3,25,42,True,True,2,2741.6126963332463,2025-06-01 03:07:52.146848
Xiaomi,Mi Super,140,2000,0,22,34,False,True,3,4484.019866569664,2025-08-04 03:07:52.146950
Juiced,Juiced Bikes Scrambler,84,500,2,23,38,True,True,1,1949.186920848927,2025-02-12 03:07:52.147050
VanMoof,VanMoof N3,72,500,5,28,29,False,False,5,665.6284125885243,2025-07-09 03:07:52.147151
Segway,Ninebot,142,1500,6,31,31,True,True,5,2537.0484688213496,2025-09-11 03:07:52.147253
Giant,Trance E+,42,500,3,33,39,False,False,2,500.0,2025-06-19 03:07:52.147354
Aventon,Aventon Sinch,142,500,4,18,41,False,True,3,2348.46596405914,2025-04-24 03:07:52.147455
Bosch,Performance Line CX,139,250,7,27,31,False,True,2,500.0,2025-03-11 03:07:52.147557
Tesla,Model B,22,500,4,18,24,True,False,3,784.0032817418164,2024-11-12 03:07:52.147657
Super73,S2 Z,81,1000,2,31,32,True,True,1,2010.9491402054875,2025-01-30 03:07:52.147758
Himo,Z20,145,350,1,32,40,False,True,5,2753.951387772849,2025-03-27 03:07:52.147862
Himo,C20,66,1000,6,30,44,True,False,5,1191.5063025899553,2025-04-11 03:07:52.147964
Himo,T1 Pro,53,500,1,22,23,False,True,2,1842.6840078681237,2025-08-31 03:07:52.148273
Segway,ES4,90,350,6,22,27,True,True,5,1034.5848180086475,2025-03-04 03:07:52.148522
Tesla,Sport Bike,149,1500,6,29,25,False,False,2,2995.764945981892,2025-04-25 03:07:52.148794
Aventon,Aventon Pace 500,100,500,6,27,40,False,True,5,894.4710422732994,2025-04-10 03:07:52.149046
Super73,S2 Z,83,350,1,20,23,False,True,2,2467.55493366633,2024-12-16 03:07:52.149303
VanMoof,VanMoof S3,102,1000,3,25,25,False,True,3,2999.8511896523432,2024-12-21 03:07:52.149609
Niu,KQi,92,500,6,26,33,True,False,1,500.0,2025-06-09 03:07:52.149885
Himo,T1 Pro,69,1000,3,16,29,False,False,3,2819.337248451693,2024-11-27 03:07:52.150298
Juiced,Juiced RipCurrent,48,1000,2,23,37,True,True,5,2692.6504863102305,2024-10-15 03:07:52.150442
Haibike,FullSuspension,135,2000,0,29,21,False,False,1,6104.721983009955,2025-01-31 03:07:52.150556
Riese & Müller,Supercharger,32,250,1,24,25,True,True,2,1481.5823308800361,2025-04-13 03:07:52.150665
Niu,MQi+,128,1500,7,33,20,True,False,5,2334.512452049764,2024-12-13 03:07:52.150775
Niu,NQi2,139,1500,4,17,35,True,True,1,3730.0590525696693,2024-11-18 03:07:52.150883
Segway,GT1,30,350,3,27,34,False,False,1,500.0,2025-05-23 03:07:52.150994
Rad Power Bikes,RadRover,127,250,6,34,44,True,False,3,500.0,2025-02-28 03:07:52.151103
Juiced,Juiced RipCurrent,136,250,4,23,41,False,False,3,1656.5720781326165,2025-04-04 03:07:52.151211
Super73,S2 Z,37,750,7,32,25,True,True,2,1109.0,2025-05-20 03:07:52.151323
Segway,ES2,142,250,1,34,42,False,False,1,1724.7017759630128,2025-08-28 03:07:52.151430
Panasonic,Mid Drive,52,1500,4,31,34,False,True,2,1361.257085987229,2025-03-12 03:07:52.151538
BionX,PL-500,126,350,0,15,27,True,False,5,3916.1837951247726,2025-07-26 03:07:52.151644
Tesla,Model B,122,2000,7,27,43,False,False,3,4544.710435305921,2025-03-12 03:07:52.151746
Giant,Reign E+,26,1500,0,18,40,False,True,2,3788.2379031631085,2025-07-15 03:07:52.151854
Himo,Z20,140,250,5,33,30,True,True,2,853.0615006934422,2025-01-23 03:07:52.151959
Xiaomi,Mi 4,138,350,3,33,37,False,False,1,1221.3648632597244,2024-10-03 03:07:52.152062
Himo,C26,45,750,3,27,25,False,True,3,1332.8519687709593,2024-09-20 03:07:52.152167
Xiaomi,Mi Super,66,500,5,27,28,True,False,2,500.0,2025-08-12 03:07:52.152269
Panasonic,Mid Drive,112,250,1,20,25,False,False,2,2605.023903608377,2025-09-14 03:07:52.152374
Niu,NQi+,41,1500,3,29,37,False,True,1,1785.9764377836075,2025-05-13 03:07:52.152479
Aventon,Aventon Path,136,2000,5,26,35,False,False,3,3507.2584968091537,2025-04-09 03:07:52.152750
Giant,Reign E+,27,750,1,31,39,True,False,5,1963.0359354176953,2025-09-12 03:07:52.152883
Himo,T1 Pro,148,2000,4,32,24,True,False,1,3842.874277141726,2025-04-12 03:07:52.153009
Panasonic,Mid Drive,40,1000,7,20,31,True,False,1,500.0,2024-11-07 03:07:52.153130
Brose,A Mag,98,1500,4,32,29,True,True,5,3084.5763427549973,2025-06-10 03:07:52.153255
Aventon,Aventon Path,28,500,7,31,33,False,False,3,730.0,2025-02-20 03:07:52.153378
BionX,PL-350,145,750,7,26,39,False,True,5,1391.191565912365,2025-04-27 03:07:52.153497
Aventon,Aventon Sinch,121,350,7,33,29,False,True,3,1177.0,2025-06-05 03:07:52.153621
Haibike,Sduro,129,1000,3,31,43,False,False,5,2972.151363667488,2024-12-11 03:07:52.153746
Juiced,Juiced Bikes Scrambler,114,1500,1,18,26,False,True,1,5327.614052742821,2024-12-30 03:07:52.153882
Rad Power Bikes,RadCity,29,1500,6,23,33,True,True,3,1032.5938528048341,2024-11-10 03:07:52.153985
VanMoof,VanMoof S3,143,1500,6,18,23,False,True,1,3553.932120288777,2025-05-17 03:07:52.154089
Haibike,Sduro,126,1000,5,15,43,False,False,2,2444.412441564798,2024-12-18 03:07:52.154192
Panasonic,Rear Hub,125,350,7,21,40,True,True,5,1257.2246182636259,2024-11-05 03:07:52.154360
Panasonic,Center Motor,104,1000,3,19,22,True,False,1,2716.6867662825075,2025-04-11 03:07:52.154641
